,Company,Compound,Date,Negative,Neutral,Positive,Tweets Ago
360,@FoxNews,0.0,Thu Oct 04 22:30:32 +0000 2018,1.0,0.0,0.0,61
361,@FoxNews,-0.296,Thu Oct 04 22:27:59 +0000 2018,0.855,0.145,0.0,62
362,@FoxNews,0.0,Thu Oct 04 22:23:28 +0000 2018,1.0,0.0,0.0,63
363,@FoxNews,-0.6597,Thu Oct 04 22:22:03 +0000 2018,0.625,0.375,0.0,64
364,@FoxNews,0.0,Thu Oct 04 22:16:01 +0000 2018,1.0,0.0,0.0,65
365,@FoxNews,-0.5574,Thu Oct 04 22:10:00 +0000 2018,0.635,0.365,0.0,66
366,@FoxNews,-0.25,Thu Oct 04 22:05:00 +0000 2018,0.741,0.153,0.106,67
367,@FoxNews,-0.2732,Thu Oct 04 21:58:25 +0000 2018,0.565,0.249,0.186,68
368,@FoxNews,-0.5859,Thu Oct 04 21:53:59 +0000 2018,0.73,0.27,0.0,69
369,@FoxNews,0.6249,Thu Oct 04 21:51:25 +0000 2018,0.796,0.0,0.204,70
370,@FoxNews,0.4404,Thu Oct 04 21:50:07 +0000 2018,0.861,0.0,0.139,71
371,@FoxNews,0.5574,Thu Oct 04 21:46:15 +0000 2018,0.825,0.0,0.175,72
372,@FoxNews,-0.8934,Thu Oct 04 21:34:06 +0000 2018,0.377,0.536,0.088,73
373,@FoxNews,-0.8176,Thu Oct 04 21:33:35 +0000 2018,0.528,0.377,0.094,74
374,@FoxNews,0.0,Thu Oct 04 21:30:00 +0000 2018,1.0,0.0,0.0,75
375,@FoxNews,0.0,Thu Oct 04 21:20:08 +0000 2018,1.0,0.0,0.0,76
376,@FoxNews,0.0,Thu Oct 04 21:04:00 +0000 2018,1.0,0.0,0.0,77
377,@FoxNews,0.0,Thu Oct 04 20:58:00 +0000 2018,1.0,0.0,0.0,78
378,@FoxNews,-0.34,Thu Oct 04 20:54:00 +0000 2018,0.854,0.146,0.0,79
379,@FoxNews,-0.296,Thu Oct 04 20:47:51 +0000 2018,0.879,0.121,0.0,80
380,@FoxNews,0.0,Thu Oct 04 20:40:47 +0000 2018,1.0,0.0,0.0,81
